454438,4622082,HOMICIDE
454438,4622082,HOMICIDE
440063,4622211,INTERFERENCE WITH PUBLIC OFFICER
446323,4627846,INTERFERENCE WITH PUBLIC OFFICER
447605,4627954,INTERFERENCE WITH PUBLIC OFFICER
444088,4626211,HOMICIDE
448086,4621559,HOMICIDE
445859,4618429,HOMICIDE
446515,4617730,HOMICIDE
439783,4637279,INTERFERENCE WITH PUBLIC OFFICER
444802,4625454,INTERFERENCE WITH PUBLIC OFFICER
438800,4626790,HOMICIDE
437899,4637067,HOMICIDE
449693,4621440,HOMICIDE
448320,4615704,HOMICIDE
438029,4641840,ARSON
438656,4640623,ARSON
446000,4618483,INTERFERENCE WITH PUBLIC OFFICER
444835,4620654,INTERFERENCE WITH PUBLIC OFFICER
453977,4622379,INTERFERENCE WITH PUBLIC OFFICER
441879,4627298,ARSON
438458,4637427,HOMICIDE
437146,4636024,HOMICIDE
440118,4638821,HOMICIDE
436437,4648339,INTERFERENCE WITH PUBLIC OFFICER
438576,4646625,INTERFERENCE WITH PUBLIC OFFICER
453752,4622376,INTERFERENCE WITH PUBLIC OFFICER
438677,4636780,INTERFERENCE WITH PUBLIC OFFICER
444261,4628627,HOMICIDE
441186,4628709,HOMICIDE
440708,4620803,ARSON
445535,4623796,ARSON
447869,4614340,ARSON
435604,4640073,ARSON
441036,4634852,HOMICIDE
440047,4633052,HOMICIDE
445695,4626848,INTERFERENCE WITH PUBLIC OFFICER
439265,4634558,INTERFERENCE WITH PUBLIC OFFICER
446142,4621073,INTERFERENCE WITH PUBLIC OFFICER
440450,4624651,ARSON
443534,4638032,ARSON
452406,4623930,INTERFERENCE WITH PUBLIC OFFICER
436537,4636818,INTERFERENCE WITH PUBLIC OFFICER
440150,4624420,HOMICIDE
442229,4636676,HOMICIDE
441924,4640181,INTERFERENCE WITH PUBLIC OFFICER
437922,4639333,INTERFERENCE WITH PUBLIC OFFICER
438105,4636776,HOMICIDE
452995,4623709,HOMICIDE
440939,4636651,HOMICIDE
447023,4620651,INTERFERENCE WITH PUBLIC OFFICER
444599,4625244,ARSON
446736,4624218,INTERFERENCE WITH PUBLIC OFFICER
451063,4624921,INTERFERENCE WITH PUBLIC OFFICER
452127,4623984,INTERFERENCE WITH PUBLIC OFFICER
447755,4618486,HOMICIDE
442815,4628730,HOMICIDE
439459,4638683,HOMICIDE
446636,4629573,HOMICIDE
445833,4644126,INTERFERENCE WITH PUBLIC OFFICER
440869,4645302,ARSON
448325,4627981,INTERFERENCE WITH PUBLIC OFFICER
445455,4616315,HOMICIDE
441766,4633273,HOMICIDE
440167,4638919,INTERFERENCE WITH PUBLIC OFFICER
447917,4636480,INTERFERENCE WITH PUBLIC OFFICER
442729,4629686,INTERFERENCE WITH PUBLIC OFFICER
440234,4625457,INTERFERENCE WITH PUBLIC OFFICER
442587,4624797,HOMICIDE
442593,4633034,HOMICIDE
437290,4636458,HOMICIDE
439958,4635779,INTERFERENCE WITH PUBLIC OFFICER
445091,4626659,INTERFERENCE WITH PUBLIC OFFICER
443957,4624286,INTERFERENCE WITH PUBLIC OFFICER
445569,4629646,HOMICIDE
443741,4621383,HOMICIDE
448445,4615342,HOMICIDE
449008,4616652,HOMICIDE
445832,4643312,INTERFERENCE WITH PUBLIC OFFICER
447832,4637670,INTERFERENCE WITH PUBLIC OFFICER
447767,4637792,INTERFERENCE WITH PUBLIC OFFICER
445472,4628696,INTERFERENCE WITH PUBLIC OFFICER
435943,4639189,ARSON
446301,4627430,ARSON
445906,4626023,INTERFERENCE WITH PUBLIC OFFICER
438061,4638388,INTERFERENCE WITH PUBLIC OFFICER
447412,4626878,HOMICIDE
444678,4627446,ARSON
436501,4640808,INTERFERENCE WITH PUBLIC OFFICER
